event_id,event_id,domain_userid,page_urlpath,next_event_id
c9a54c64-3118-4be2-9e8a-d02eb2c45828,Fri Jan 01 13:33:42 MST 2016,e036a555bc91ff86,/our-products/fresh/wipes,42bed1ec-08b6-4260-a13d-e424a4f361ae
42bed1ec-08b6-4260-a13d-e424a4f361ae,Fri Jan 01 13:33:44 MST 2016,e036a555bc91ff86,/your-box/item/cJR91a5DKUwV57tX2XmQUtB56luPQO3gCnAuqjwQc4uXV4Y0e5ceLyxMEXcSgqA7/change-quantity,201a11af-cbf9-4cfe-9fe2-2a9171e6a73a
201a11af-cbf9-4cfe-9fe2-2a9171e6a73a,Fri Jan 01 13:33:44 MST 2016,e036a555bc91ff86,/your-box/add-product/wipes,ecb73d93-f411-4462-8a63-b1c7e197d180
ecb73d93-f411-4462-8a63-b1c7e197d180,Fri Jan 01 13:33:49 MST 2016,e036a555bc91ff86,/your-box/item/cJR91a5DKUwV57tX2XmQUtB56luPQO3gCnAuqjwQc4uXV4Y0e5ceLyxMEXcSgqA7/confirm-remove,2fb0b630-4ccc-4160-bac9-3ba8dc4e6bb0
2fb0b630-4ccc-4160-bac9-3ba8dc4e6bb0,Fri Jan 01 13:33:49 MST 2016,e036a555bc91ff86,/your-box/add-product/wipes/qty/1,07ab7645-e4ee-4fd0-8cc5-62423c2802f3
07ab7645-e4ee-4fd0-8cc5-62423c2802f3,Fri Jan 01 13:33:55 MST 2016,e036a555bc91ff86,/your-box/now,a30b54f3-038c-418c-bf4b-30ceaf72141d
a30b54f3-038c-418c-bf4b-30ceaf72141d,Fri Jan 01 13:34:01 MST 2016,e036a555bc91ff86,/your-account,null
17cdf5a4-2bb2-460f-8110-06c8bd1398cf,Fri Jan 01 17:33:05 MST 2016,9dea9d9a700e4744,/login,f67160c7-f437-4c67-81da-74af56d9f0f1
f67160c7-f437-4c67-81da-74af56d9f0f1,Fri Jan 01 17:33:16 MST 2016,9dea9d9a700e4744,/,4bcacd8f-0e7e-4e35-8a2b-d840ac6e1c39
4bcacd8f-0e7e-4e35-8a2b-d840ac6e1c39,Fri Jan 01 17:33:17 MST 2016,9dea9d9a700e4744,/our-products,a2aadbe6-394a-4475-b48a-7bfb0e14a9c8
